/home/daniel/anaconda3/envs/umd_monai_py311/bin/python train_umdfibroid_monai.py --plans-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/nnUNetPlans.json --preproc-dir /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/nnUNetPlans_3d_fullres --splits-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/splits_final.json --nnunet-config 3d_fullres --fold 2 --outdir runs/umd_binary/unet3d/fold_02 --model unet3d --task binary --in-channels 1 --lesion-class-id 1 --oversample-foreground-percent 0.33 --fg-sampling perclass --fg-max-points-per-class 200000 --sampler nnunet --fg-perclass-selection inverse_frequency --fg-min-voxels-in-patch 0 --fg-resample-max-tries 8 --max-epochs 1000 --num-iterations-per-epoch 250 --lr 0.01 --poly-power 0.9 --weight-decay 3e-05 --val-every 50 --val-max-batches 32 --val-mode fullcase --val-num-cases 0 --num-workers 4 --seed 42 --ignore-index -1 --ignore-labels 255 -1 --grad-clip-norm 12.0 --dataset-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/dataset.json

[speed] case_cache_size=16 fg_cache_size=512 mta_cache=6 OMP/MKL/OPENBLAS/NUMEXPR=1
[dataset.json] inferred num_classes=2 from /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/dataset.json
[aug] spacing_zyx=(3.9000335693359376, 0.42969998717308044, 0.42969998717308044) anisotropic=True do_elastic=False rot_xy=0 order_seg=0 simlr_ignore_axes=(0,)
[sampler] b2nd sampler=nnunet fg_perclass_selection=inverse_frequency fg_min_voxels_in_patch=0
using pin_memory on device 0
using pin_memory on device 0
[loss] Dice include_background=False (default False).
[val] fullcase evaluating n_cases=35 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.1016 (n=35)
[val] fullcase mean_fg_dice: 0.1016
[fold 2] epoch 0001/1000 | loss 1.1064 | val Dice 0.1016 (fullcase)
[fold 2] saved new best -> runs/umd_binary/unet3d/fold_02/best_unet3d_fold02.pt
[fold 2] epoch 0002/1000 | loss 0.9384
[fold 2] epoch 0003/1000 | loss 0.9291
[fold 2] epoch 0004/1000 | loss 0.9645
[fold 2] epoch 0005/1000 | loss 0.9289
[fold 2] epoch 0006/1000 | loss 0.9156
[fold 2] epoch 0007/1000 | loss 0.9150
[fold 2] epoch 0008/1000 | loss 0.8958
[fold 2] epoch 0009/1000 | loss 0.8709
[fold 2] epoch 0010/1000 | loss 0.8504
[fold 2] epoch 0011/1000 | loss 0.7937
[fold 2] epoch 0012/1000 | loss 0.7818
[fold 2] epoch 0013/1000 | loss 0.8131
[fold 2] epoch 0014/1000 | loss 0.8540
[fold 2] epoch 0015/1000 | loss 0.8146
[fold 2] epoch 0016/1000 | loss 0.8507
[fold 2] epoch 0017/1000 | loss 0.8130
[fold 2] epoch 0018/1000 | loss 0.8182
[fold 2] epoch 0019/1000 | loss 0.8111
[fold 2] epoch 0020/1000 | loss 0.8096
[fold 2] epoch 0021/1000 | loss 0.7724
[fold 2] epoch 0022/1000 | loss 0.7956
[fold 2] epoch 0023/1000 | loss 0.7777
[fold 2] epoch 0024/1000 | loss 0.7531
[fold 2] epoch 0025/1000 | loss 0.7482
[fold 2] epoch 0026/1000 | loss 0.7562
[fold 2] epoch 0027/1000 | loss 0.7541
[fold 2] epoch 0028/1000 | loss 0.7523
[fold 2] epoch 0029/1000 | loss 0.7538
[fold 2] epoch 0030/1000 | loss 0.7015
[fold 2] epoch 0031/1000 | loss 0.7229
[fold 2] epoch 0032/1000 | loss 0.7187
[fold 2] epoch 0033/1000 | loss 0.7722
[fold 2] epoch 0034/1000 | loss 0.7001
[fold 2] epoch 0035/1000 | loss 0.7231
[fold 2] epoch 0036/1000 | loss 0.7665
[fold 2] epoch 0037/1000 | loss 0.7473
[fold 2] epoch 0038/1000 | loss 0.7272
[fold 2] epoch 0039/1000 | loss 0.6756
[fold 2] epoch 0040/1000 | loss 0.6954
[fold 2] epoch 0041/1000 | loss 0.7240
[fold 2] epoch 0042/1000 | loss 0.6869
[fold 2] epoch 0043/1000 | loss 0.6767
[fold 2] epoch 0044/1000 | loss 0.6931
[fold 2] epoch 0045/1000 | loss 0.6988
[fold 2] epoch 0046/1000 | loss 0.6846
[fold 2] epoch 0047/1000 | loss 0.7098
[fold 2] epoch 0048/1000 | loss 0.6897
[fold 2] epoch 0049/1000 | loss 0.7662
[val] fullcase evaluating n_cases=35 (requested max_cases=0)
