/home/daniel/anaconda3/envs/umd_monai_py311/bin/python train_umdfibroid_monai.py --plans-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/nnUNetPlans.json --preproc-dir /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/nnUNetPlans_3d_fullres --splits-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/splits_final.json --nnunet-config 3d_fullres --fold 4 --outdir runs/umd_binary/unet3d/fold_04 --model unet3d --task binary --in-channels 1 --lesion-class-id 1 --oversample-foreground-percent 0.33 --fg-sampling perclass --fg-max-points-per-class 200000 --sampler nnunet --fg-perclass-selection inverse_frequency --fg-min-voxels-in-patch 0 --fg-resample-max-tries 8 --max-epochs 1000 --num-iterations-per-epoch 250 --lr 0.01 --poly-power 0.9 --weight-decay 3e-05 --val-every 50 --val-max-batches 32 --val-mode fullcase --val-num-cases 0 --num-workers 4 --seed 42 --ignore-index -1 --ignore-labels 255 -1 --grad-clip-norm 12.0 --dataset-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/dataset.json

[speed] case_cache_size=16 fg_cache_size=512 mta_cache=6 OMP/MKL/OPENBLAS/NUMEXPR=1
[dataset.json] inferred num_classes=2 from /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/dataset.json
[aug] spacing_zyx=(3.9000335693359376, 0.42969998717308044, 0.42969998717308044) anisotropic=True do_elastic=False rot_xy=0 order_seg=0 simlr_ignore_axes=(0,)
[sampler] b2nd sampler=nnunet eff_fg_prob=0.5 fg_perclass_selection=inverse_frequency fg_min_voxels_in_patch=0
using pin_memory on device 0
using pin_memory on device 0
[loss] Dice include_background=False (default False).
[val] fullcase evaluating n_cases=34 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.1233 (n=34)
[val] fullcase mean_fg_dice: 0.1233
[fold 4] epoch 0001/1000 | loss 1.0642 | val Dice 0.1233 (fullcase)
[fold 4] saved new best -> runs/umd_binary/unet3d/fold_04/best_unet3d_fold04.pt
[fold 4] epoch 0002/1000 | loss 0.9626
[fold 4] epoch 0003/1000 | loss 0.9390
[fold 4] epoch 0004/1000 | loss 0.9266
[fold 4] epoch 0005/1000 | loss 0.9534
[fold 4] epoch 0006/1000 | loss 0.8785
[fold 4] epoch 0007/1000 | loss 0.8671
[fold 4] epoch 0008/1000 | loss 0.8703
[fold 4] epoch 0009/1000 | loss 0.8816
[fold 4] epoch 0010/1000 | loss 0.8765
[fold 4] epoch 0011/1000 | loss 0.8684
[fold 4] epoch 0012/1000 | loss 0.8234
[fold 4] epoch 0013/1000 | loss 0.8203
[fold 4] epoch 0014/1000 | loss 0.8124
[fold 4] epoch 0015/1000 | loss 0.7936
[fold 4] epoch 0016/1000 | loss 0.8125
[fold 4] epoch 0017/1000 | loss 0.7587
[fold 4] epoch 0018/1000 | loss 0.7524
[fold 4] epoch 0019/1000 | loss 0.7652
[fold 4] epoch 0020/1000 | loss 0.7829
[fold 4] epoch 0021/1000 | loss 0.7415
[fold 4] epoch 0022/1000 | loss 0.7778
[fold 4] epoch 0023/1000 | loss 0.7961
[fold 4] epoch 0024/1000 | loss 0.7569
[fold 4] epoch 0025/1000 | loss 0.7494
[fold 4] epoch 0026/1000 | loss 0.7147
[fold 4] epoch 0027/1000 | loss 0.7219
[fold 4] epoch 0028/1000 | loss 0.7635
[fold 4] epoch 0029/1000 | loss 0.7182
[fold 4] epoch 0030/1000 | loss 0.7052
[fold 4] epoch 0031/1000 | loss 0.7647
[fold 4] epoch 0032/1000 | loss 0.7383
[fold 4] epoch 0033/1000 | loss 0.7309
[fold 4] epoch 0034/1000 | loss 0.7174
[fold 4] epoch 0035/1000 | loss 0.7073
[fold 4] epoch 0036/1000 | loss 0.7454
[fold 4] epoch 0037/1000 | loss 0.6922
[fold 4] epoch 0038/1000 | loss 0.7316
[fold 4] epoch 0039/1000 | loss 0.7523
[fold 4] epoch 0040/1000 | loss 0.7002
[fold 4] epoch 0041/1000 | loss 0.7251
[fold 4] epoch 0042/1000 | loss 0.6793
[fold 4] epoch 0043/1000 | loss 0.6755
[fold 4] epoch 0044/1000 | loss 0.7004
[fold 4] epoch 0045/1000 | loss 0.6590
[fold 4] epoch 0046/1000 | loss 0.6842
[fold 4] epoch 0047/1000 | loss 0.6855
[fold 4] epoch 0048/1000 | loss 0.6780
[fold 4] epoch 0049/1000 | loss 0.6632
[val] fullcase evaluating n_cases=34 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.2884 (n=34)
[val] fullcase mean_fg_dice: 0.2884
[fold 4] epoch 0050/1000 | loss 0.6778 | val Dice 0.2884 (fullcase)
[fold 4] saved new best -> runs/umd_binary/unet3d/fold_04/best_unet3d_fold04.pt
[fold 4] epoch 0051/1000 | loss 0.6889
[fold 4] epoch 0052/1000 | loss 0.6846
[fold 4] epoch 0053/1000 | loss 0.6665
[fold 4] epoch 0054/1000 | loss 0.6286
[fold 4] epoch 0055/1000 | loss 0.6373
[fold 4] epoch 0056/1000 | loss 0.6950
[fold 4] epoch 0057/1000 | loss 0.6584
[fold 4] epoch 0058/1000 | loss 0.6717
[fold 4] epoch 0059/1000 | loss 0.6718
[fold 4] epoch 0060/1000 | loss 0.7344
[fold 4] epoch 0061/1000 | loss 0.6797
[fold 4] epoch 0062/1000 | loss 0.6839
[fold 4] epoch 0063/1000 | loss 0.6537
[fold 4] epoch 0064/1000 | loss 0.6522
[fold 4] epoch 0065/1000 | loss 0.6764
[fold 4] epoch 0066/1000 | loss 0.7158
[fold 4] epoch 0067/1000 | loss 0.6349
[fold 4] epoch 0068/1000 | loss 0.6324
[fold 4] epoch 0069/1000 | loss 0.6795
[fold 4] epoch 0070/1000 | loss 0.6569
[fold 4] epoch 0071/1000 | loss 0.6478
[fold 4] epoch 0072/1000 | loss 0.6544
[fold 4] epoch 0073/1000 | loss 0.6393
