/home/daniel/anaconda3/envs/umd_monai_py311/bin/python train_umdfibroid_monai.py --plans-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/nnUNetPlans.json --preproc-dir /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/nnUNetPlans_3d_fullres --splits-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/splits_final.json --nnunet-config 3d_fullres --fold 3 --outdir runs/lms_binary/mednext/fold_03 --model mednext --task binary --in-channels 1 --lesion-class-id 1 --oversample-foreground-percent 0.33 --fg-sampling perclass --fg-max-points-per-class 200000 --sampler nnunet --fg-perclass-selection inverse_frequency --fg-min-voxels-in-patch 16 --fg-resample-max-tries 12 --max-epochs 1000 --num-iterations-per-epoch 250 --lr 0.01 --poly-power 0.9 --weight-decay 3e-05 --val-every 50 --val-max-batches 32 --val-mode fullcase --val-num-cases 0 --num-workers 4 --seed 42 --ignore-index -1 --ignore-labels 255 -1 --loss-dice-weight 1.0 --loss-ce-weight 1.0 --dice-smooth-nr 1e-05 --dice-smooth-dr 1e-05 --grad-clip-norm 12.0 --case-cache-size 16 --fg-cache-size 512 --mta-cache 6 --torch-num-threads 1 --dataset-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/dataset.json --segresnet-lr-scale 0.1 --mednext-variant S --mednext-kernel-size 3 --mednext-init-filters 32 --mednext-norm-type group

<frozen importlib._bootstrap_external>:1241: FutureWarning: The cuda.cudart module is deprecated and will be removed in a future release, please switch to use the cuda.bindings.runtime module instead.
[speed] case_cache_size=16 fg_cache_size=512 mta_cache=6 OMP/MKL/OPENBLAS/NUMEXPR=1
[dataset.json] inferred num_classes=2 from /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/dataset.json
[aug] spacing_zyx=(3.3600001335144043, 0.625, 0.625) anisotropic=True do_elastic=False rot_xy=0 order_seg=0 simlr_ignore_axes=(0,)
[sampler] b2nd sampler=nnunet eff_fg_prob=0.5 fg_perclass_selection=inverse_frequency fg_min_voxels_in_patch=16
using pin_memory on device 0
using pin_memory on device 0
[mednext] variant=S kernel_size=3 init_filters=32 deep_supervision=False residual=True norm=group global_resp_norm=False
[loss] Dice include_background=False (default False).
/media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UterusSegBenchmark/UterusSegBenchmark/train_umdfibroid_monai.py:1566: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
/media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UterusSegBenchmark/UterusSegBenchmark/train_umdfibroid_monai.py:1654: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=use_amp):
[val] fullcase evaluating n_cases=33 (requested max_cases=0)
/home/daniel/anaconda3/envs/umd_monai_py311/lib/python3.11/site-packages/monai/inferers/utils.py:231: UserWarning: Using a non-tuple sequence for multidimensional indexing is deprecated and will be changed in pytorch 2.9; use x[tuple(seq)] instead of x[seq]. In pytorch 2.9 this will be interpreted as tensor index, x[torch.tensor(seq)], which will result either in an error or a different result (Triggered internally at /pytorch/torch/csrc/autograd/python_variable_indexing.cpp:347.)
  win_data = inputs[unravel_slice[0]].to(sw_device)
/home/daniel/anaconda3/envs/umd_monai_py311/lib/python3.11/site-packages/monai/inferers/utils.py:370: UserWarning: Using a non-tuple sequence for multidimensional indexing is deprecated and will be changed in pytorch 2.9; use x[tuple(seq)] instead of x[seq]. In pytorch 2.9 this will be interpreted as tensor index, x[torch.tensor(seq)], which will result either in an error or a different result (Triggered internally at /pytorch/torch/csrc/autograd/python_variable_indexing.cpp:347.)
  out[idx_zm] += p
[val] fullcase per-class dice: c1:0.2660 (n=33)
[val] fullcase mean_fg_dice: 0.2660
[fold 3] epoch 0001/1000 | loss 1.1630 | val Dice 0.2660 (fullcase)
[fold 3] saved new best -> runs/lms_binary/mednext/fold_03/best_mednext_fold03.pt
[fold 3] epoch 0002/1000 | loss 1.0622
[fold 3] epoch 0003/1000 | loss 1.0625
[fold 3] epoch 0004/1000 | loss 0.9443
[fold 3] epoch 0005/1000 | loss 0.9226
[fold 3] epoch 0006/1000 | loss 0.8790
[fold 3] epoch 0007/1000 | loss 0.8476
[fold 3] epoch 0008/1000 | loss 0.8222
[fold 3] epoch 0009/1000 | loss 0.8455
[fold 3] epoch 0010/1000 | loss 0.7966
[fold 3] epoch 0011/1000 | loss 0.8311
[fold 3] epoch 0012/1000 | loss 0.8347
[fold 3] epoch 0013/1000 | loss 0.7472
[fold 3] epoch 0014/1000 | loss 0.7836
[fold 3] epoch 0015/1000 | loss 0.7713
[fold 3] epoch 0016/1000 | loss 0.7402
[fold 3] epoch 0017/1000 | loss 0.7724
[fold 3] epoch 0018/1000 | loss 0.7294
[fold 3] epoch 0019/1000 | loss 0.7537
[fold 3] epoch 0020/1000 | loss 0.7905
[fold 3] epoch 0021/1000 | loss 0.7623
[fold 3] epoch 0022/1000 | loss 0.7388
[fold 3] epoch 0023/1000 | loss 0.7520
[fold 3] epoch 0024/1000 | loss 0.7290
[fold 3] epoch 0025/1000 | loss 0.7252
[fold 3] epoch 0026/1000 | loss 0.6913
[fold 3] epoch 0027/1000 | loss 0.7358
[fold 3] epoch 0028/1000 | loss 0.7324
[fold 3] epoch 0029/1000 | loss 0.6517
[fold 3] epoch 0030/1000 | loss 0.6672
[fold 3] epoch 0031/1000 | loss 0.6651
[fold 3] epoch 0032/1000 | loss 0.6577
[fold 3] epoch 0033/1000 | loss 0.6877
[fold 3] epoch 0034/1000 | loss 0.7486
[fold 3] epoch 0035/1000 | loss 0.6764
[fold 3] epoch 0036/1000 | loss 0.6492
[fold 3] epoch 0037/1000 | loss 0.6579
[fold 3] epoch 0038/1000 | loss 0.6534
[fold 3] epoch 0039/1000 | loss 0.6559
[fold 3] epoch 0040/1000 | loss 0.6542
[fold 3] epoch 0041/1000 | loss 0.6588
[fold 3] epoch 0042/1000 | loss 0.6752
[fold 3] epoch 0043/1000 | loss 0.6200
[fold 3] epoch 0044/1000 | loss 0.6379
[fold 3] epoch 0045/1000 | loss 0.6635
[fold 3] epoch 0046/1000 | loss 0.6391
[fold 3] epoch 0047/1000 | loss 0.6042
[fold 3] epoch 0048/1000 | loss 0.5814
[fold 3] epoch 0049/1000 | loss 0.6591
[val] fullcase evaluating n_cases=33 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.5472 (n=33)
[val] fullcase mean_fg_dice: 0.5472
[fold 3] epoch 0050/1000 | loss 0.6735 | val Dice 0.5472 (fullcase)
[fold 3] saved new best -> runs/lms_binary/mednext/fold_03/best_mednext_fold03.pt
[fold 3] epoch 0051/1000 | loss 0.6552
[fold 3] epoch 0052/1000 | loss 0.6402
[fold 3] epoch 0053/1000 | loss 0.6133
[fold 3] epoch 0054/1000 | loss 0.5849
[fold 3] epoch 0055/1000 | loss 0.5765
[fold 3] epoch 0056/1000 | loss 0.6036
[fold 3] epoch 0057/1000 | loss 0.6047
[fold 3] epoch 0058/1000 | loss 0.5704
[fold 3] epoch 0059/1000 | loss 0.5910
[fold 3] epoch 0060/1000 | loss 0.5860
[fold 3] epoch 0061/1000 | loss 0.5534
[fold 3] epoch 0062/1000 | loss 0.5926
[fold 3] epoch 0063/1000 | loss 0.5878
[fold 3] epoch 0064/1000 | loss 0.5744
[fold 3] epoch 0065/1000 | loss 0.5450
[fold 3] epoch 0066/1000 | loss 0.6307
[fold 3] epoch 0067/1000 | loss 0.5827
[fold 3] epoch 0068/1000 | loss 0.5746
[fold 3] epoch 0069/1000 | loss 0.6169
[fold 3] epoch 0070/1000 | loss 0.5708
[fold 3] epoch 0071/1000 | loss 0.5518
[fold 3] epoch 0072/1000 | loss 0.6209
[fold 3] epoch 0073/1000 | loss 0.5247
[fold 3] epoch 0074/1000 | loss 0.5591
[fold 3] epoch 0075/1000 | loss 0.5429
[fold 3] epoch 0076/1000 | loss 0.5779
[fold 3] epoch 0077/1000 | loss 0.5323
[fold 3] epoch 0078/1000 | loss 0.5391
[fold 3] epoch 0079/1000 | loss 0.5286
[fold 3] epoch 0080/1000 | loss 0.5546
[fold 3] epoch 0081/1000 | loss 0.5501
[fold 3] epoch 0082/1000 | loss 0.5183
[fold 3] epoch 0083/1000 | loss 0.5413
[fold 3] epoch 0084/1000 | loss 0.5257
[fold 3] epoch 0085/1000 | loss 0.5064
[fold 3] epoch 0086/1000 | loss 0.5229
[fold 3] epoch 0087/1000 | loss 0.5299
