/home/daniel/anaconda3/envs/umd_monai_py311/bin/python train_umdfibroid_monai.py --plans-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/nnUNetPlans.json --preproc-dir /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/nnUNetPlans_3d_fullres --splits-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/splits_final.json --nnunet-config 3d_fullres --fold 4 --outdir runs/lms_binary/unet3d/fold_04 --model unet3d --task binary --in-channels 1 --lesion-class-id 1 --oversample-foreground-percent 0.33 --fg-sampling perclass --fg-max-points-per-class 200000 --sampler nnunet --fg-perclass-selection inverse_frequency --fg-min-voxels-in-patch 16 --fg-resample-max-tries 12 --max-epochs 1000 --num-iterations-per-epoch 250 --lr 0.01 --poly-power 0.9 --weight-decay 3e-05 --val-every 50 --val-max-batches 32 --val-mode fullcase --val-num-cases 8 --num-workers 4 --seed 42 --ignore-index -1 --ignore-labels 255 -1 --loss-dice-weight 1.0 --loss-ce-weight 1.0 --dice-smooth-nr 1e-05 --dice-smooth-dr 1e-05 --grad-clip-norm 12.0 --case-cache-size 16 --fg-cache-size 512 --mta-cache 6 --torch-num-threads 1 --dataset-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/dataset.json --segresnet-lr-scale 0.1

[speed] case_cache_size=16 fg_cache_size=512 mta_cache=6 OMP/MKL/OPENBLAS/NUMEXPR=1
[dataset.json] inferred num_classes=2 from /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset102_LMS/dataset.json
[aug] spacing_zyx=(3.3600001335144043, 0.625, 0.625) anisotropic=True do_elastic=False rot_xy=0 order_seg=0 simlr_ignore_axes=(0,)
[sampler] b2nd sampler=nnunet eff_fg_prob=0.5 fg_perclass_selection=inverse_frequency fg_min_voxels_in_patch=16
using pin_memory on device 0
using pin_memory on device 0
[loss] Dice include_background=False (default False).
[val] fullcase evaluating n_cases=8 (requested max_cases=8)
[val] fullcase per-class dice: c1:0.1526 (n=8)
[val] fullcase mean_fg_dice: 0.1526
[fold 4] epoch 0001/1000 | loss 1.2328 | val Dice 0.1526 (fullcase)
[fold 4] saved new best -> runs/lms_binary/unet3d/fold_04/best_unet3d_fold04.pt
[fold 4] epoch 0002/1000 | loss 1.1381
[fold 4] epoch 0003/1000 | loss 1.1034
[fold 4] epoch 0004/1000 | loss 1.1113
[fold 4] epoch 0005/1000 | loss 1.0743
[fold 4] epoch 0006/1000 | loss 1.0710
[fold 4] epoch 0007/1000 | loss 0.9854
[fold 4] epoch 0008/1000 | loss 1.0202
[fold 4] epoch 0009/1000 | loss 1.0160
[fold 4] epoch 0010/1000 | loss 0.9817
[fold 4] epoch 0011/1000 | loss 0.9647
[fold 4] epoch 0012/1000 | loss 0.9175
[fold 4] epoch 0013/1000 | loss 0.9132
[fold 4] epoch 0014/1000 | loss 0.9500
[fold 4] epoch 0015/1000 | loss 0.9989
[fold 4] epoch 0016/1000 | loss 0.9338
[fold 4] epoch 0017/1000 | loss 0.9108
[fold 4] epoch 0018/1000 | loss 0.8937
[fold 4] epoch 0019/1000 | loss 0.9087
[fold 4] epoch 0020/1000 | loss 0.8967
[fold 4] epoch 0021/1000 | loss 0.9125
[fold 4] epoch 0022/1000 | loss 0.8993
[fold 4] epoch 0023/1000 | loss 0.8722
[fold 4] epoch 0024/1000 | loss 0.8953
[fold 4] epoch 0025/1000 | loss 0.9146
[fold 4] epoch 0026/1000 | loss 0.8445
[fold 4] epoch 0027/1000 | loss 0.8623
[fold 4] epoch 0028/1000 | loss 0.8404
[fold 4] epoch 0029/1000 | loss 0.8401
[fold 4] epoch 0030/1000 | loss 0.8452
[fold 4] epoch 0031/1000 | loss 0.8407
[fold 4] epoch 0032/1000 | loss 0.8963
[fold 4] epoch 0033/1000 | loss 0.8314
[fold 4] epoch 0034/1000 | loss 0.9012
[fold 4] epoch 0035/1000 | loss 0.8191
[fold 4] epoch 0036/1000 | loss 0.8417
[fold 4] epoch 0037/1000 | loss 0.8018
[fold 4] epoch 0038/1000 | loss 0.7909
[fold 4] epoch 0039/1000 | loss 0.8257
[fold 4] epoch 0040/1000 | loss 0.8013
[fold 4] epoch 0041/1000 | loss 0.8116
[fold 4] epoch 0042/1000 | loss 0.8223
[fold 4] epoch 0043/1000 | loss 0.8228
[fold 4] epoch 0044/1000 | loss 0.7685
[fold 4] epoch 0045/1000 | loss 0.7894
[fold 4] epoch 0046/1000 | loss 0.8024
[fold 4] epoch 0047/1000 | loss 0.7959
[fold 4] epoch 0048/1000 | loss 0.7643
[fold 4] epoch 0049/1000 | loss 0.8049
[val] fullcase evaluating n_cases=8 (requested max_cases=8)
[val] fullcase per-class dice: c1:0.3886 (n=8)
[val] fullcase mean_fg_dice: 0.3886
[fold 4] epoch 0050/1000 | loss 0.8328 | val Dice 0.3886 (fullcase)
[fold 4] saved new best -> runs/lms_binary/unet3d/fold_04/best_unet3d_fold04.pt
