/home/daniel/anaconda3/envs/umd_monai_py311/bin/python train_umdfibroid_monai.py --plans-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/nnUNetPlans.json --preproc-dir /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/nnUNetPlans_3d_fullres --splits-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/splits_final.json --nnunet-config 3d_fullres --fold 4 --outdir runs/project_binary/mednext/fold_04 --model mednext --task binary --in-channels 1 --lesion-class-id 1 --oversample-foreground-percent 0.33 --fg-sampling perclass --fg-max-points-per-class 200000 --sampler nnunet --fg-perclass-selection inverse_frequency --fg-min-voxels-in-patch 16 --fg-resample-max-tries 12 --max-epochs 1000 --num-iterations-per-epoch 250 --lr 0.01 --poly-power 0.9 --weight-decay 3e-05 --val-every 50 --val-max-batches 32 --val-mode fullcase --val-num-cases 0 --num-workers 4 --seed 42 --ignore-index -1 --ignore-labels 255 -1 --loss-dice-weight 1.0 --loss-ce-weight 1.0 --dice-smooth-nr 1e-05 --dice-smooth-dr 1e-05 --grad-clip-norm 12.0 --case-cache-size 16 --fg-cache-size 512 --mta-cache 6 --torch-num-threads 1 --dataset-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/dataset.json --segresnet-lr-scale 0.1 --mednext-variant S --mednext-kernel-size 3 --mednext-init-filters 32 --mednext-norm-type group

<frozen importlib._bootstrap_external>:1241: FutureWarning: The cuda.cudart module is deprecated and will be removed in a future release, please switch to use the cuda.bindings.runtime module instead.
[speed] case_cache_size=16 fg_cache_size=512 mta_cache=6 OMP/MKL/OPENBLAS/NUMEXPR=1
[dataset.json] inferred num_classes=2 from /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset101_emca/dataset.json
[aug] spacing_zyx=(3.9000335693359376, 0.42969998717308044, 0.42969998717308044) anisotropic=True do_elastic=False rot_xy=0 order_seg=0 simlr_ignore_axes=(0,)
[sampler] b2nd sampler=nnunet eff_fg_prob=0.5 fg_perclass_selection=inverse_frequency fg_min_voxels_in_patch=16
using pin_memory on device 0
using pin_memory on device 0
[mednext] variant=S kernel_size=3 init_filters=32 deep_supervision=False residual=True norm=group global_resp_norm=False
[loss] Dice include_background=False (default False).
/media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UterusSegBenchmark/UterusSegBenchmark/train_umdfibroid_monai.py:1566: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
/media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UterusSegBenchmark/UterusSegBenchmark/train_umdfibroid_monai.py:1654: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=use_amp):
[val] fullcase evaluating n_cases=34 (requested max_cases=0)
/home/daniel/anaconda3/envs/umd_monai_py311/lib/python3.11/site-packages/monai/inferers/utils.py:231: UserWarning: Using a non-tuple sequence for multidimensional indexing is deprecated and will be changed in pytorch 2.9; use x[tuple(seq)] instead of x[seq]. In pytorch 2.9 this will be interpreted as tensor index, x[torch.tensor(seq)], which will result either in an error or a different result (Triggered internally at /pytorch/torch/csrc/autograd/python_variable_indexing.cpp:347.)
  win_data = inputs[unravel_slice[0]].to(sw_device)
/home/daniel/anaconda3/envs/umd_monai_py311/lib/python3.11/site-packages/monai/inferers/utils.py:370: UserWarning: Using a non-tuple sequence for multidimensional indexing is deprecated and will be changed in pytorch 2.9; use x[tuple(seq)] instead of x[seq]. In pytorch 2.9 this will be interpreted as tensor index, x[torch.tensor(seq)], which will result either in an error or a different result (Triggered internally at /pytorch/torch/csrc/autograd/python_variable_indexing.cpp:347.)
  out[idx_zm] += p
[val] fullcase per-class dice: c1:0.1736 (n=34)
[val] fullcase mean_fg_dice: 0.1736
[fold 4] epoch 0001/1000 | loss 1.0449 | val Dice 0.1736 (fullcase)
[fold 4] saved new best -> runs/project_binary/mednext/fold_04/best_mednext_fold04.pt
[fold 4] epoch 0002/1000 | loss 0.9087
[fold 4] epoch 0003/1000 | loss 0.8480
[fold 4] epoch 0004/1000 | loss 0.8471
[fold 4] epoch 0005/1000 | loss 0.8485
[fold 4] epoch 0006/1000 | loss 0.7482
[fold 4] epoch 0007/1000 | loss 0.7726
[fold 4] epoch 0008/1000 | loss 0.7436
[fold 4] epoch 0009/1000 | loss 0.7443
[fold 4] epoch 0010/1000 | loss 0.7530
[fold 4] epoch 0011/1000 | loss 0.7216
[fold 4] epoch 0012/1000 | loss 0.7585
[fold 4] epoch 0013/1000 | loss 0.7136
[fold 4] epoch 0014/1000 | loss 0.6619
[fold 4] epoch 0015/1000 | loss 0.6336
[fold 4] epoch 0016/1000 | loss 0.7103
[fold 4] epoch 0017/1000 | loss 0.6387
[fold 4] epoch 0018/1000 | loss 0.6578
[fold 4] epoch 0019/1000 | loss 0.6600
[fold 4] epoch 0020/1000 | loss 0.6556
[fold 4] epoch 0021/1000 | loss 0.7032
[fold 4] epoch 0022/1000 | loss 0.6750
[fold 4] epoch 0023/1000 | loss 0.6647
[fold 4] epoch 0024/1000 | loss 0.6275
[fold 4] epoch 0025/1000 | loss 0.6152
[fold 4] epoch 0026/1000 | loss 0.5854
[fold 4] epoch 0027/1000 | loss 0.6012
[fold 4] epoch 0028/1000 | loss 0.6219
[fold 4] epoch 0029/1000 | loss 0.5728
[fold 4] epoch 0030/1000 | loss 0.5595
[fold 4] epoch 0031/1000 | loss 0.5866
[fold 4] epoch 0032/1000 | loss 0.5531
[fold 4] epoch 0033/1000 | loss 0.5928
[fold 4] epoch 0034/1000 | loss 0.5880
[fold 4] epoch 0035/1000 | loss 0.5388
[fold 4] epoch 0036/1000 | loss 0.5758
[fold 4] epoch 0037/1000 | loss 0.5320
[fold 4] epoch 0038/1000 | loss 0.5440
[fold 4] epoch 0039/1000 | loss 0.5244
[fold 4] epoch 0040/1000 | loss 0.5055
[fold 4] epoch 0041/1000 | loss 0.5764
[fold 4] epoch 0042/1000 | loss 0.5230
[fold 4] epoch 0043/1000 | loss 0.5314
[fold 4] epoch 0044/1000 | loss 0.5661
[fold 4] epoch 0045/1000 | loss 0.5217
[fold 4] epoch 0046/1000 | loss 0.5199
[fold 4] epoch 0047/1000 | loss 0.5028
[fold 4] epoch 0048/1000 | loss 0.5568
[fold 4] epoch 0049/1000 | loss 0.5532
[val] fullcase evaluating n_cases=34 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.4588 (n=34)
[val] fullcase mean_fg_dice: 0.4588
[fold 4] epoch 0050/1000 | loss 0.5216 | val Dice 0.4588 (fullcase)
[fold 4] saved new best -> runs/project_binary/mednext/fold_04/best_mednext_fold04.pt
[fold 4] epoch 0051/1000 | loss 0.5024
[fold 4] epoch 0052/1000 | loss 0.5507
[fold 4] epoch 0053/1000 | loss 0.5370
[fold 4] epoch 0054/1000 | loss 0.5112
[fold 4] epoch 0055/1000 | loss 0.5082
[fold 4] epoch 0056/1000 | loss 0.5407
[fold 4] epoch 0057/1000 | loss 0.5100
[fold 4] epoch 0058/1000 | loss 0.5188
[fold 4] epoch 0059/1000 | loss 0.4875
[fold 4] epoch 0060/1000 | loss 0.4833
[fold 4] epoch 0061/1000 | loss 0.4901
[fold 4] epoch 0062/1000 | loss 0.5079
[fold 4] epoch 0063/1000 | loss 0.4836
[fold 4] epoch 0064/1000 | loss 0.5223
[fold 4] epoch 0065/1000 | loss 0.4916
[fold 4] epoch 0066/1000 | loss 0.5140
[fold 4] epoch 0067/1000 | loss 0.4631
[fold 4] epoch 0068/1000 | loss 0.4450
[fold 4] epoch 0069/1000 | loss 0.4828
[fold 4] epoch 0070/1000 | loss 0.4946
[fold 4] epoch 0071/1000 | loss 0.4917
[fold 4] epoch 0072/1000 | loss 0.4962
[fold 4] epoch 0073/1000 | loss 0.4561
[fold 4] epoch 0074/1000 | loss 0.4533
[fold 4] epoch 0075/1000 | loss 0.4454
[fold 4] epoch 0076/1000 | loss 0.4611
[fold 4] epoch 0077/1000 | loss 0.4682
[fold 4] epoch 0078/1000 | loss 0.4866
[fold 4] epoch 0079/1000 | loss 0.4777
[fold 4] epoch 0080/1000 | loss 0.4807
[fold 4] epoch 0081/1000 | loss 0.4863
[fold 4] epoch 0082/1000 | loss 0.4586
[fold 4] epoch 0083/1000 | loss 0.4891
[fold 4] epoch 0084/1000 | loss 0.4569
[fold 4] epoch 0085/1000 | loss 0.4632
[fold 4] epoch 0086/1000 | loss 0.4272
[fold 4] epoch 0087/1000 | loss 0.4772
[fold 4] epoch 0088/1000 | loss 0.4807
[fold 4] epoch 0089/1000 | loss 0.4699
[fold 4] epoch 0090/1000 | loss 0.4765
[fold 4] epoch 0091/1000 | loss 0.4550
[fold 4] epoch 0092/1000 | loss 0.4226
[fold 4] epoch 0093/1000 | loss 0.4275
[fold 4] epoch 0094/1000 | loss 0.4157
[fold 4] epoch 0095/1000 | loss 0.4524
[fold 4] epoch 0096/1000 | loss 0.5012
[fold 4] epoch 0097/1000 | loss 0.4653
[fold 4] epoch 0098/1000 | loss 0.4484
[fold 4] epoch 0099/1000 | loss 0.4274
[val] fullcase evaluating n_cases=34 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.5125 (n=34)
[val] fullcase mean_fg_dice: 0.5125
[fold 4] epoch 0100/1000 | loss 0.4160 | val Dice 0.5125 (fullcase)
[fold 4] saved new best -> runs/project_binary/mednext/fold_04/best_mednext_fold04.pt
[fold 4] epoch 0101/1000 | loss 0.4531
[fold 4] epoch 0102/1000 | loss 0.4464
[fold 4] epoch 0103/1000 | loss 0.4547
[fold 4] epoch 0104/1000 | loss 0.4529
[fold 4] epoch 0105/1000 | loss 0.4736
[fold 4] epoch 0106/1000 | loss 0.4842
[fold 4] epoch 0107/1000 | loss 0.4501
[fold 4] epoch 0108/1000 | loss 0.4429
[fold 4] epoch 0109/1000 | loss 0.4356
[fold 4] epoch 0110/1000 | loss 0.4254
[fold 4] epoch 0111/1000 | loss 0.4198
[fold 4] epoch 0112/1000 | loss 0.4219
[fold 4] epoch 0113/1000 | loss 0.4270
[fold 4] epoch 0114/1000 | loss 0.4396
[fold 4] epoch 0115/1000 | loss 0.4316
[fold 4] epoch 0116/1000 | loss 0.4384
[fold 4] epoch 0117/1000 | loss 0.4673
[fold 4] epoch 0118/1000 | loss 0.4637
[fold 4] epoch 0119/1000 | loss 0.4262
[fold 4] epoch 0120/1000 | loss 0.4601
[fold 4] epoch 0121/1000 | loss 0.4616
[fold 4] epoch 0122/1000 | loss 0.4422
[fold 4] epoch 0123/1000 | loss 0.4299
[fold 4] epoch 0124/1000 | loss 0.4627
[fold 4] epoch 0125/1000 | loss 0.3945
[fold 4] epoch 0126/1000 | loss 0.4497
[fold 4] epoch 0127/1000 | loss 0.4174
[fold 4] epoch 0128/1000 | loss 0.4120
[fold 4] epoch 0129/1000 | loss 0.4396
[fold 4] epoch 0130/1000 | loss 0.4546
[fold 4] epoch 0131/1000 | loss 0.4470
[fold 4] epoch 0132/1000 | loss 0.4717
[fold 4] epoch 0133/1000 | loss 0.4183
[fold 4] epoch 0134/1000 | loss 0.4478
[fold 4] epoch 0135/1000 | loss 0.4148
[fold 4] epoch 0136/1000 | loss 0.4252
[fold 4] epoch 0137/1000 | loss 0.4219
[fold 4] epoch 0138/1000 | loss 0.4347
[fold 4] epoch 0139/1000 | loss 0.4015
[fold 4] epoch 0140/1000 | loss 0.4192
[fold 4] epoch 0141/1000 | loss 0.4266
[fold 4] epoch 0142/1000 | loss 0.4024
[fold 4] epoch 0143/1000 | loss 0.4126
[fold 4] epoch 0144/1000 | loss 0.4095
[fold 4] epoch 0145/1000 | loss 0.4152
[fold 4] epoch 0146/1000 | loss 0.4110
[fold 4] epoch 0147/1000 | loss 0.3800
[fold 4] epoch 0148/1000 | loss 0.3959
[fold 4] epoch 0149/1000 | loss 0.4608
[val] fullcase evaluating n_cases=34 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.4945 (n=34)
[val] fullcase mean_fg_dice: 0.4945
[fold 4] epoch 0150/1000 | loss 0.4310 | val Dice 0.4945 (fullcase)
