/home/daniel/anaconda3/envs/umd_monai_py311/bin/python train_umdfibroid_monai.py --plans-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/nnUNetPlans.json --preproc-dir /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/nnUNetPlans_3d_fullres --splits-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/splits_final.json --nnunet-config 3d_fullres --fold 0 --outdir runs/project_multiclass/mednext/fold_00 --model mednext --task multiclass --in-channels 1 --lesion-class-id 1 --oversample-foreground-percent 0.33 --fg-sampling perclass --fg-max-points-per-class 200000 --sampler nnunet --fg-perclass-selection inverse_frequency --fg-min-voxels-in-patch 16 --fg-resample-max-tries 12 --max-epochs 1000 --num-iterations-per-epoch 250 --lr 0.01 --poly-power 0.9 --weight-decay 3e-05 --val-every 50 --val-max-batches 32 --val-mode fullcase --val-num-cases 0 --num-workers 4 --seed 42 --ignore-index -1 --ignore-labels 255 -1 --loss-dice-weight 1.0 --loss-ce-weight 1.0 --dice-smooth-nr 1e-05 --dice-smooth-dr 1e-05 --grad-clip-norm 12.0 --case-cache-size 16 --fg-cache-size 512 --mta-cache 6 --torch-num-threads 1 --dataset-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/dataset.json --segresnet-lr-scale 0.1 --mednext-variant S --mednext-kernel-size 3 --mednext-init-filters 32 --mednext-norm-type group

<frozen importlib._bootstrap_external>:1241: FutureWarning: The cuda.cudart module is deprecated and will be removed in a future release, please switch to use the cuda.bindings.runtime module instead.
[speed] case_cache_size=16 fg_cache_size=512 mta_cache=6 OMP/MKL/OPENBLAS/NUMEXPR=1
[dataset.json] inferred num_classes=5 from /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/dataset.json
[aug] spacing_zyx=(4.400000095367432, 0.4838709533214569, 0.4838709533214569) anisotropic=True do_elastic=False rot_xy=0 order_seg=0 simlr_ignore_axes=(0,)
[sampler] b2nd sampler=nnunet eff_fg_prob=0.5 fg_perclass_selection=inverse_frequency fg_min_voxels_in_patch=16
using pin_memory on device 0
using pin_memory on device 0
[mednext] variant=S kernel_size=3 init_filters=32 deep_supervision=False residual=True norm=group global_resp_norm=False
[loss] Dice include_background=False (default False).
/media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UterusSegBenchmark/UterusSegBenchmark/train_umdfibroid_monai.py:1566: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_amp)
/media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UterusSegBenchmark/UterusSegBenchmark/train_umdfibroid_monai.py:1654: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=use_amp):
[val] fullcase evaluating n_cases=54 (requested max_cases=0)
/home/daniel/anaconda3/envs/umd_monai_py311/lib/python3.11/site-packages/monai/inferers/utils.py:231: UserWarning: Using a non-tuple sequence for multidimensional indexing is deprecated and will be changed in pytorch 2.9; use x[tuple(seq)] instead of x[seq]. In pytorch 2.9 this will be interpreted as tensor index, x[torch.tensor(seq)], which will result either in an error or a different result (Triggered internally at /pytorch/torch/csrc/autograd/python_variable_indexing.cpp:347.)
  win_data = inputs[unravel_slice[0]].to(sw_device)
/home/daniel/anaconda3/envs/umd_monai_py311/lib/python3.11/site-packages/monai/inferers/utils.py:370: UserWarning: Using a non-tuple sequence for multidimensional indexing is deprecated and will be changed in pytorch 2.9; use x[tuple(seq)] instead of x[seq]. In pytorch 2.9 this will be interpreted as tensor index, x[torch.tensor(seq)], which will result either in an error or a different result (Triggered internally at /pytorch/torch/csrc/autograd/python_variable_indexing.cpp:347.)
  out[idx_zm] += p
[val] fullcase per-class dice: c1:0.0575 (n=54) | c2:0.0000 (n=54) | c3:0.0294 (n=54) | c4:0.0000 (n=26)
[val] fullcase mean_fg_dice: 0.0217
[fold 0] epoch 0001/1000 | loss 1.3380 | val Dice 0.0217 (fullcase)
[fold 0] saved new best -> runs/project_multiclass/mednext/fold_00/best_mednext_fold00.pt
[fold 0] epoch 0002/1000 | loss 1.2520
[fold 0] epoch 0003/1000 | loss 1.1711
[fold 0] epoch 0004/1000 | loss 1.1415
[fold 0] epoch 0005/1000 | loss 1.0814
[fold 0] epoch 0006/1000 | loss 1.0354
[fold 0] epoch 0007/1000 | loss 1.0078
[fold 0] epoch 0008/1000 | loss 0.9744
[fold 0] epoch 0009/1000 | loss 0.9592
[fold 0] epoch 0010/1000 | loss 0.9639
[fold 0] epoch 0011/1000 | loss 0.9100
[fold 0] epoch 0012/1000 | loss 0.9067
[fold 0] epoch 0013/1000 | loss 0.9414
[fold 0] epoch 0014/1000 | loss 0.8637
[fold 0] epoch 0015/1000 | loss 0.8641
[fold 0] epoch 0016/1000 | loss 0.8912
[fold 0] epoch 0017/1000 | loss 0.8532
[fold 0] epoch 0018/1000 | loss 0.8176
[fold 0] epoch 0019/1000 | loss 0.8152
[fold 0] epoch 0020/1000 | loss 0.8122
[fold 0] epoch 0021/1000 | loss 0.8024
[fold 0] epoch 0022/1000 | loss 0.8066
[fold 0] epoch 0023/1000 | loss 0.8109
[fold 0] epoch 0024/1000 | loss 0.8277
[fold 0] epoch 0025/1000 | loss 0.7855
[fold 0] epoch 0026/1000 | loss 0.7955
[fold 0] epoch 0027/1000 | loss 0.7621
[fold 0] epoch 0028/1000 | loss 0.7518
[fold 0] epoch 0029/1000 | loss 0.7323
[fold 0] epoch 0030/1000 | loss 0.7453
[fold 0] epoch 0031/1000 | loss 0.7483
[fold 0] epoch 0032/1000 | loss 0.7060
[fold 0] epoch 0033/1000 | loss 0.7349
[fold 0] epoch 0034/1000 | loss 0.7076
[fold 0] epoch 0035/1000 | loss 0.6882
[fold 0] epoch 0036/1000 | loss 0.7294
[fold 0] epoch 0037/1000 | loss 0.6905
[fold 0] epoch 0038/1000 | loss 0.6807
[fold 0] epoch 0039/1000 | loss 0.6560
[fold 0] epoch 0040/1000 | loss 0.6793
[fold 0] epoch 0041/1000 | loss 0.6969
[fold 0] epoch 0042/1000 | loss 0.7208
[fold 0] epoch 0043/1000 | loss 0.6903
[fold 0] epoch 0044/1000 | loss 0.7016
[fold 0] epoch 0045/1000 | loss 0.6992
[fold 0] epoch 0046/1000 | loss 0.6708
[fold 0] epoch 0047/1000 | loss 0.6635
[fold 0] epoch 0048/1000 | loss 0.6473
[fold 0] epoch 0049/1000 | loss 0.6699
[val] fullcase evaluating n_cases=54 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.5895 (n=54) | c2:0.5938 (n=54) | c3:0.3585 (n=54) | c4:0.2040 (n=26)
[val] fullcase mean_fg_dice: 0.4365
[fold 0] epoch 0050/1000 | loss 0.6447 | val Dice 0.4365 (fullcase)
[fold 0] saved new best -> runs/project_multiclass/mednext/fold_00/best_mednext_fold00.pt
[fold 0] epoch 0051/1000 | loss 0.6810
[fold 0] epoch 0052/1000 | loss 0.6509
[fold 0] epoch 0053/1000 | loss 0.6720
[fold 0] epoch 0054/1000 | loss 0.6575
[fold 0] epoch 0055/1000 | loss 0.6110
[fold 0] epoch 0056/1000 | loss 0.6182
[fold 0] epoch 0057/1000 | loss 0.6094
[fold 0] epoch 0058/1000 | loss 0.6569
[fold 0] epoch 0059/1000 | loss 0.6610
[fold 0] epoch 0060/1000 | loss 0.6243
[fold 0] epoch 0061/1000 | loss 0.6213
[fold 0] epoch 0062/1000 | loss 0.6431
[fold 0] epoch 0063/1000 | loss 0.6295
[fold 0] epoch 0064/1000 | loss 0.6471
[fold 0] epoch 0065/1000 | loss 0.6874
[fold 0] epoch 0066/1000 | loss 0.6561
[fold 0] epoch 0067/1000 | loss 0.6290
[fold 0] epoch 0068/1000 | loss 0.6315
[fold 0] epoch 0069/1000 | loss 0.6686
[fold 0] epoch 0070/1000 | loss 0.6362
[fold 0] epoch 0071/1000 | loss 0.6167
[fold 0] epoch 0072/1000 | loss 0.6403
[fold 0] epoch 0073/1000 | loss 0.6317
[fold 0] epoch 0074/1000 | loss 0.5863
[fold 0] epoch 0075/1000 | loss 0.5684
[fold 0] epoch 0076/1000 | loss 0.5982
[fold 0] epoch 0077/1000 | loss 0.6177
[fold 0] epoch 0078/1000 | loss 0.6194
[fold 0] epoch 0079/1000 | loss 0.6075
[fold 0] epoch 0080/1000 | loss 0.5872
[fold 0] epoch 0081/1000 | loss 0.6227
[fold 0] epoch 0082/1000 | loss 0.5833
[fold 0] epoch 0083/1000 | loss 0.6472
[fold 0] epoch 0084/1000 | loss 0.6070
[fold 0] epoch 0085/1000 | loss 0.5685
[fold 0] epoch 0086/1000 | loss 0.5561
[fold 0] epoch 0087/1000 | loss 0.5977
[fold 0] epoch 0088/1000 | loss 0.6356
