/home/daniel/anaconda3/envs/umd_monai_py311/bin/python train_umdfibroid_monai.py --plans-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/nnUNetPlans.json --preproc-dir /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/nnUNetPlans_3d_fullres --splits-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/splits_final.json --nnunet-config 3d_fullres --fold 4 --outdir runs/umd_multiclass/unet3d/fold_04 --model unet3d --task multiclass --in-channels 1 --lesion-class-id 3 --oversample-foreground-percent 0.33 --fg-sampling perclass --fg-max-points-per-class 200000 --sampler nnunet --fg-perclass-selection inverse_frequency --fg-min-voxels-in-patch 16 --fg-resample-max-tries 12 --max-epochs 1000 --num-iterations-per-epoch 250 --lr 0.01 --poly-power 0.9 --weight-decay 3e-05 --val-every 50 --val-max-batches 32 --val-mode fullcase --val-num-cases 0 --num-workers 4 --seed 42 --ignore-index -1 --ignore-labels 255 -1 --grad-clip-norm 12.0 --dataset-json /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/dataset.json

[speed] case_cache_size=16 fg_cache_size=512 mta_cache=6 OMP/MKL/OPENBLAS/NUMEXPR=1
[dataset.json] inferred num_classes=5 from /media/daniel/b6eaf548-4cbb-4781-8be0-fea0091c0087/UMD/nnUNet_raw_data_base/nnUNet_preprocessed/Dataset004_UMD/dataset.json
[aug] spacing_zyx=(4.400000095367432, 0.4838709533214569, 0.4838709533214569) anisotropic=True do_elastic=False rot_xy=0 order_seg=0 simlr_ignore_axes=(0,)
[sampler] b2nd sampler=nnunet fg_perclass_selection=inverse_frequency fg_min_voxels_in_patch=16
using pin_memory on device 0
using pin_memory on device 0
[loss] Dice include_background=False (default False).
[val] fullcase evaluating n_cases=54 (requested max_cases=0)
[val] fullcase per-class dice: c1:0.0000 (n=54) | c2:0.0000 (n=54) | c3:0.0000 (n=54) | c4:0.0000 (n=17)
[val] fullcase mean_fg_dice: 0.0000
[fold 4] epoch 0001/1000 | loss 1.3886 | val Dice 0.0000 (fullcase)
[fold 4] saved new best -> runs/umd_multiclass/unet3d/fold_04/best_unet3d_fold04.pt
[fold 4] epoch 0002/1000 | loss 1.3210
[fold 4] epoch 0003/1000 | loss 1.2721
[fold 4] epoch 0004/1000 | loss 1.2451
[fold 4] epoch 0005/1000 | loss 1.2458
[fold 4] epoch 0006/1000 | loss 1.2361
[fold 4] epoch 0007/1000 | loss 1.2379
[fold 4] epoch 0008/1000 | loss 1.2122
[fold 4] epoch 0009/1000 | loss 1.1907
[fold 4] epoch 0010/1000 | loss 1.1985
[fold 4] epoch 0011/1000 | loss 1.1970
[fold 4] epoch 0012/1000 | loss 1.1557
[fold 4] epoch 0013/1000 | loss 1.1997
[fold 4] epoch 0014/1000 | loss 1.1642
[fold 4] epoch 0015/1000 | loss 1.1453
[fold 4] epoch 0016/1000 | loss 1.1384
[fold 4] epoch 0017/1000 | loss 1.1022
[fold 4] epoch 0018/1000 | loss 1.1144
[fold 4] epoch 0019/1000 | loss 1.0876
[fold 4] epoch 0020/1000 | loss 1.1112
[fold 4] epoch 0021/1000 | loss 1.0883
[fold 4] epoch 0022/1000 | loss 1.0743
[fold 4] epoch 0023/1000 | loss 1.0620
[fold 4] epoch 0024/1000 | loss 1.0779
[fold 4] epoch 0025/1000 | loss 1.0709
[fold 4] epoch 0026/1000 | loss 1.0498
[fold 4] epoch 0027/1000 | loss 1.0317
[fold 4] epoch 0028/1000 | loss 1.0530
[fold 4] epoch 0029/1000 | loss 1.0657
[fold 4] epoch 0030/1000 | loss 1.0566
[fold 4] epoch 0031/1000 | loss 1.0378
[fold 4] epoch 0032/1000 | loss 1.0242
[fold 4] epoch 0033/1000 | loss 1.0566
[fold 4] epoch 0034/1000 | loss 1.0096
[fold 4] epoch 0035/1000 | loss 1.0336
[fold 4] epoch 0036/1000 | loss 1.0200
[fold 4] epoch 0037/1000 | loss 1.0129
[fold 4] epoch 0038/1000 | loss 1.0282
[fold 4] epoch 0039/1000 | loss 1.0165
[fold 4] epoch 0040/1000 | loss 0.9644
[fold 4] epoch 0041/1000 | loss 0.9854
[fold 4] epoch 0042/1000 | loss 0.9779
[fold 4] epoch 0043/1000 | loss 0.9659
[fold 4] epoch 0044/1000 | loss 0.9589
[fold 4] epoch 0045/1000 | loss 0.9742
[fold 4] epoch 0046/1000 | loss 0.9584
[fold 4] epoch 0047/1000 | loss 0.9817
[fold 4] epoch 0048/1000 | loss 1.0031
[fold 4] epoch 0049/1000 | loss 0.9663
[val] fullcase evaluating n_cases=54 (requested max_cases=0)
